drg,drgnum,drgweight,drgdesc,drgsys,drgvers,glos,trim,low,alos,postacute,specialpay,mdc,medsurg,fydate,fyear,mdcdesc
1,1,26.0295,1: HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MS-DRG,30,29.39999962,0,,38.5,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
2,2,13.9131,2: HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,MS-DRG,30,15.5,0,,19.70000076,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
3,3,17.7369,"3: ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MS-DRG,30,28.20000076,0,,34.5,Yes,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
4,4,10.8833,"4: TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS-DRG,30,20.89999962,0,,25.5,Yes,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
5,5,10.9894,5: LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MS-DRG,30,16,0,,21.70000076,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
6,6,4.7178,6: LIVER TRANSPLANT W/O MCC,MS-DRG,30,8,0,,8.899999619,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
7,7,9.6127,7: LUNG TRANSPLANT,MS-DRG,30,14.69999981,0,,18.20000076,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
8,8,5.111,8: SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MS-DRG,30,9.800000191,0,,11.39999962,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
9,9,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
10,10,3.8954,10: PANCREAS TRANSPLANT,MS-DRG,30,8,0,,8.600000381,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
11,11,4.8434,"11: TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MS-DRG,30,11.89999962,0,,14.89999962,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
